"","X","modelbaseversion","suppliercountry","suppliernationalidentifier","publicationlanguage","publicationtime","publicationcountry","publicationnationalidentifier","situationid","situationconfidentiality","situationinformationstatus","situationurgency","situationrecordid","situationrecordcreationtime","situationrecordversion","situationrecordversiontime","situationrecordfirstsupplierversiontime","probabilityofoccurrence","validitystatus","overallstarttime","delaytimevalue","openlrbinary","openlrversion","alertceventcode","abnormaltraffictype","averagespeed","effectonroadlayout","roadmaintenancetype","roadmaintenancevalue","roadmaintenancelang","constructionworktype","networkmanagementtype","vehicleobstructiontype","accidenttype","obstructiontype","environmentalobstructiontype","poorenvironmenttype","ID","lon","lat"
"578",578,1,"nl","TomTom Traffic Service","en","2016-05-09 12:58:00","other","76624715-56b0-46f7-a8cc-567fb22069ce","TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144944884326544","internalUse","real","urgent","TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144944884326544-1","2016-05-09 09:31:00",26,"2016-05-09 12:58:00","2016-05-09 12:58:00","probable","active","2016-05-09 09:31:00",798,"C/wxURm16gw4DQIx/4sKIBA=",3,101,"stationaryTraffic",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144954117926544",-5.35185456273388,36.1559736726944
"579",579,1,"nl","TomTom Traffic Service","en","2016-05-09 13:13:30","other","76624715-56b0-46f7-a8cc-567fb22069ce","TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144944884326544","internalUse","real","urgent","TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144944884326544-1","2016-05-09 09:31:00",29,"2016-05-09 13:13:30","2016-05-09 13:13:30","probable","active","2016-05-09 09:31:00",779,"C/wxuRm1/wskCAFS/14KIAs=",3,101,"stationaryTraffic",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144954117926544",-5.35185456273388,36.1559736726944
"580",580,1,"nl","TomTom Traffic Service","en","2016-05-09 13:29:30","other","76624715-56b0-46f7-a8cc-567fb22069ce","TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144944884326544","internalUse","real","urgent","TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144944884326544-1","2016-05-09 09:31:00",31,"2016-05-09 13:29:30","2016-05-09 13:29:30","probable","active","2016-05-09 09:31:00",463,"C/wxuRm1/wskCAFS/14KIBo=",3,101,"stationaryTraffic",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144954117926544",-5.35185456273388,36.1559736726944
"581",581,1,"nl","TomTom Traffic Service","en","2016-05-09 13:44:00","other","76624715-56b0-46f7-a8cc-567fb22069ce","TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144944884326544","internalUse","real","urgent","TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144944884326544-1","2016-05-09 09:31:00",31,"2016-05-09 13:44:00","2016-05-09 13:44:00","probable","active","2016-05-09 09:31:00",463,"C/wxuRm1/wskCAFS/14KIBo=",3,101,"stationaryTraffic",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144954117926544",-5.35185456273388,36.1559736726944
"582",582,1,"nl","TomTom Traffic Service","en","2016-05-09 15:14:30","other","76624715-56b0-46f7-a8cc-567fb22069ce","TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144981817062720","internalUse","real","urgent","TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144981817062720-1","2016-05-09 15:14:30",1,"2016-05-09 15:14:30","2016-05-09 15:14:30","probable","active","2016-05-09 15:14:30",233,"C/ww7Rmy7SSODQFc/iMjFA==",3,108,"queueingTraffic",9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144972584640192",-5.34209132191972,36.1461246011918
"583",583,1,"nl","TomTom Traffic Service","en","2016-05-09 15:29:00","other","76624715-56b0-46f7-a8cc-567fb22069ce","TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144981817062720","internalUse","real","urgent","TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144981817062720-1","2016-05-09 15:14:30",5,"2016-05-09 15:29:00","2016-05-09 15:29:00","probable","active","2016-05-09 15:14:30",227,"C/ww7Rmy7SSODQFc/iMjVAY=",3,108,"queueingTraffic",9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144954117376144",-5.34885048863721,36.1500728128617
"584",584,1,"nl","TomTom Traffic Service","en","2016-05-09 15:44:30","other","76624715-56b0-46f7-a8cc-567fb22069ce","TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144981817062720","internalUse","real","urgent","TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144981817062720-1","2016-05-09 15:14:30",5,"2016-05-09 15:44:30","2016-05-09 15:44:30","probable","active","2016-05-09 15:14:30",227,"C/ww7Rmy7SSODQFc/iMjVAY=",3,108,"queueingTraffic",9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144963350912145",-5.35084605214429,36.1464893816178
"585",585,1,"nl","TomTom Traffic Service","en","2016-05-09 15:44:30","other","76624715-56b0-46f7-a8cc-567fb22069ce","TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144954117427344","internalUse","real","urgent","TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144954117427344-1","2016-05-09 15:41:00",2,"2016-05-09 15:44:30","2016-05-09 15:44:30","probable","active","2016-05-09 15:41:00",332,"C/wyWRm1ogogBwBKAJELLlA=",3,101,"stationaryTraffic",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144963350912145",-5.35045981404614,36.1465752123063
"586",586,1,"nl","TomTom Traffic Service","en","2016-05-09 15:58:00","other","76624715-56b0-46f7-a8cc-567fb22069ce","TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144981817062720","internalUse","real","urgent","TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144981817062720-1","2016-05-09 15:14:30",7,"2016-05-09 15:58:00","2016-05-09 15:58:00","probable","active","2016-05-09 15:14:30",183,"C/ww9xmy5yOMCgDR/gcjHw==",3,108,"queueingTraffic",9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144981817100992",-5.35601735112497,36.1389791963761
"587",587,1,"nl","TomTom Traffic Service","en","2016-05-09 15:58:00","other","76624715-56b0-46f7-a8cc-567fb22069ce","TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144954117427344","internalUse","real","urgent","TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144954117427344-1","2016-05-09 15:41:00",3,"2016-05-09 15:58:00","2016-05-09 15:58:00","probable","active","2016-05-09 15:41:00",385,"C/wyWRm1ogogBwBKAJELLiw=",3,101,"stationaryTraffic",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144954117427344",-5.34842133519483,36.1539781091873
"588",588,1,"nl","TomTom Traffic Service","en","2016-05-09 17:13:05","other","76624715-56b0-46f7-a8cc-567fb22069ce","TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144954117580944","internalUse","real","urgent","TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144954117580944-1","2016-05-09 17:00:00",4,"2016-05-09 17:13:05","2016-05-09 17:13:05","probable","active","2016-05-09 17:00:00",350,"C/wyUBm1UQohCwBeAT8LDg==",3,108,"queueingTraffic",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144981817100992",-5.35601735112497,36.1389791963761
"589",589,1,"nl","TomTom Traffic Service","en","2016-05-10 07:44:00","other","76624715-56b0-46f7-a8cc-567fb22069ce","TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144963351027344","internalUse","real","urgent","TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144963351027344-1","2016-05-10 07:44:00",1,"2016-05-10 07:44:00","2016-05-10 07:44:00","probable","active","2016-05-10 07:44:00",203,"C/wyRRm07AoyBv9p/rgKAw==",3,101,"stationaryTraffic",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL145000284147408",-5.3522193431599,36.1295592783159
"590",590,1,"nl","TomTom Traffic Service","en","2016-05-10 07:44:00","other","76624715-56b0-46f7-a8cc-567fb22069ce","TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144944884339344","internalUse","real","urgent","TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144944884339344-1","2016-05-10 07:30:30",2,"2016-05-10 07:44:00","2016-05-10 07:44:00","probable","active","2016-05-10 07:30:30",722,"C/wxUxm13gooDAIu/6YKIBI=",3,101,"stationaryTraffic",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL145000284147408",-5.3522193431599,36.1295592783159
"591",591,1,"nl","TomTom Traffic Service","en","2016-05-10 07:59:00","other","76624715-56b0-46f7-a8cc-567fb22069ce","TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144963351027344","internalUse","real","urgent","TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144963351027344-1","2016-05-10 07:44:00",2,"2016-05-10 07:59:00","2016-05-10 07:59:00","probable","active","2016-05-10 07:44:00",229,"C/wyPxm03woxBv91/tQKAw==",3,101,"stationaryTraffic",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144944884416144",-5.35185456273388,36.1559736726944
"592",592,1,"nl","TomTom Traffic Service","en","2016-05-10 08:14:00","other","76624715-56b0-46f7-a8cc-567fb22069ce","TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144981817625920","internalUse","real","urgent","TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144981817625920-1","2016-05-10 08:08:30",1,"2016-05-10 08:14:00","2016-05-10 08:14:00","probable","active","2016-05-10 08:08:30",236,"C/wxNBmybSOeDf+xAoIjEQ==",3,108,"queueingTraffic",9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144954117376144",-5.34861445424391,36.1522400377457
"593",593,1,"nl","TomTom Traffic Service","en","2016-05-10 08:14:00","other","76624715-56b0-46f7-a8cc-567fb22069ce","TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144963351027344","internalUse","real","urgent","TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144963351027344-1","2016-05-10 07:44:00",5,"2016-05-10 08:14:00","2016-05-10 08:14:00","probable","active","2016-05-10 07:44:00",213,"C/wyPxm03woxB/9C/rwKBg==",3,101,"stationaryTraffic",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144944884416144",-5.35185456273388,36.1559736726944
"594",594,1,"nl","TomTom Traffic Service","en","2016-05-10 08:14:00","other","76624715-56b0-46f7-a8cc-567fb22069ce","TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144944884339344","internalUse","real","urgent","TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144944884339344-1","2016-05-10 07:30:30",4,"2016-05-10 08:14:00","2016-05-10 08:14:00","probable","active","2016-05-10 07:30:30",722,"C/wxUxm13gooDAIu/6YKIBI=",3,101,"stationaryTraffic",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144944884416144",-5.35185456273388,36.1559736726944
"595",595,1,"nl","TomTom Traffic Service","en","2016-05-10 08:28:30","other","76624715-56b0-46f7-a8cc-567fb22069ce","TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144944884339344","internalUse","real","urgent","TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144944884339344-1","2016-05-10 07:30:30",7,"2016-05-10 08:28:30","2016-05-10 08:28:30","probable","active","2016-05-10 07:30:30",815,"C/wxRxm15wwwDQJI/5MKAA==",3,101,"stationaryTraffic",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144944884416144",-5.35400032994578,36.155351400203
"596",596,1,"nl","TomTom Traffic Service","en","2016-05-10 08:28:30","other","76624715-56b0-46f7-a8cc-567fb22069ce","TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144963351027344","internalUse","real","urgent","TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144963351027344-1","2016-05-10 07:44:00",9,"2016-05-10 08:28:30","2016-05-10 08:28:30","probable","active","2016-05-10 07:44:00",909,"C/wyUBm1UQswEf4J/YYLRDQ=",3,101,"stationaryTraffic",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144944884416144",-5.35400032994578,36.155351400203
"597",597,1,"nl","TomTom Traffic Service","en","2016-05-10 08:44:00","other","76624715-56b0-46f7-a8cc-567fb22069ce","TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144963351027344","internalUse","real","urgent","TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144963351027344-1","2016-05-10 07:44:00",14,"2016-05-10 08:44:00","2016-05-10 08:44:00","probable","active","2016-05-10 07:44:00",330,"C/wyRRm07AoyDf4h/l8LBA==",3,108,"queueingTraffic",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144944884416144",-5.35400032994578,36.155351400203
"598",598,1,"nl","TomTom Traffic Service","en","2016-05-10 08:44:00","other","76624715-56b0-46f7-a8cc-567fb22069ce","TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144944884339344","internalUse","real","urgent","TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144944884339344-1","2016-05-10 07:30:30",10,"2016-05-10 08:44:00","2016-05-10 08:44:00","probable","active","2016-05-10 07:30:30",463,"C/wxuRm1/wskCAFS/14KIBo=",3,101,"stationaryTraffic",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144963350873744",-5.35258412358593,36.1470901964371
"599",599,1,"nl","TomTom Traffic Service","en","2016-05-10 08:59:00","other","76624715-56b0-46f7-a8cc-567fb22069ce","TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144963351027344","internalUse","real","urgent","TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144963351027344-1","2016-05-10 07:44:00",17,"2016-05-10 08:59:00","2016-05-10 08:59:00","probable","active","2016-05-10 07:44:00",415,"C/wyPxm03woxDP4t/nsLRB4=",3,101,"stationaryTraffic",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144963351116944",-5.3513181209309,36.1465108392899
"600",600,1,"nl","TomTom Traffic Service","en","2016-05-10 08:59:00","other","76624715-56b0-46f7-a8cc-567fb22069ce","TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144944884339344","internalUse","real","urgent","TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144944884339344-1","2016-05-10 07:30:30",11,"2016-05-10 08:59:00","2016-05-10 08:59:00","probable","active","2016-05-10 07:30:30",467,"C/wxuRm1/wskBwFc/68LAA==",3,101,"stationaryTraffic",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144944884416144",-5.35400032994578,36.155351400203
"601",601,1,"nl","TomTom Traffic Service","en","2016-05-10 09:14:38","other","76624715-56b0-46f7-a8cc-567fb22069ce","TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144963351027344","internalUse","real","urgent","TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144963351027344-1","2016-05-10 07:44:00",22,"2016-05-10 09:14:38","2016-05-10 09:14:38","probable","active","2016-05-10 07:44:00",272,"C/wyKBm0lAoxCf5f/xsLRAw=",3,101,"stationaryTraffic",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144944884416144",-5.35400032994578,36.155351400203
"602",602,1,"nl","TomTom Traffic Service","en","2016-05-10 09:14:38","other","76624715-56b0-46f7-a8cc-567fb22069ce","TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144944884339344","internalUse","real","urgent","TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144944884339344-1","2016-05-10 07:30:30",13,"2016-05-10 09:14:38","2016-05-10 09:14:38","probable","active","2016-05-10 07:30:30",463,"C/wxuRm1/wskCAFS/14KIBo=",3,101,"stationaryTraffic",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144944884416144",-5.35400032994578,36.155351400203
"603",603,1,"nl","TomTom Traffic Service","en","2016-05-10 09:29:30","other","76624715-56b0-46f7-a8cc-567fb22069ce","TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144944884339344","internalUse","real","urgent","TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144944884339344-1","2016-05-10 07:30:30",15,"2016-05-10 09:29:30","2016-05-10 09:29:30","probable","active","2016-05-10 07:30:30",771,"C/wxRxm15wwwDQJI/5MKIBE=",3,101,"stationaryTraffic",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144944884416144",-5.35400032994578,36.155351400203
"604",604,1,"nl","TomTom Traffic Service","en","2016-05-10 09:43:00","other","76624715-56b0-46f7-a8cc-567fb22069ce","TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144944884339344","internalUse","real","urgent","TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144944884339344-1","2016-05-10 07:30:30",17,"2016-05-10 09:43:00","2016-05-10 09:43:00","probable","active","2016-05-10 07:30:30",771,"C/wxRxm15wwwDQJI/5MKIBE=",3,101,"stationaryTraffic",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144963350899344",-5.35543799397776,36.1468970773881
"605",605,1,"nl","TomTom Traffic Service","en","2016-05-10 09:59:30","other","76624715-56b0-46f7-a8cc-567fb22069ce","TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144944884339344","internalUse","real","urgent","TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144944884339344-1","2016-05-10 07:30:30",18,"2016-05-10 09:59:30","2016-05-10 09:59:30","probable","active","2016-05-10 07:30:30",714,"C/wxRxm15wwwCwJS/+QLIA4=",3,101,"stationaryTraffic",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144963351116944",-5.34947276112867,36.1481845377152
"606",606,1,"nl","TomTom Traffic Service","en","2016-05-10 10:14:30","other","76624715-56b0-46f7-a8cc-567fb22069ce","TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144944884339344","internalUse","real","urgent","TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144944884339344-1","2016-05-10 07:30:30",19,"2016-05-10 10:14:30","2016-05-10 10:14:30","probable","active","2016-05-10 07:30:30",771,"C/wxRxm15wwwDQJI/5MKIBE=",3,101,"stationaryTraffic",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144944884416144",-5.35185456273388,36.1559736726944
"607",607,1,"nl","TomTom Traffic Service","en","2016-05-10 10:29:00","other","76624715-56b0-46f7-a8cc-567fb22069ce","TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144944884339344","internalUse","real","urgent","TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144944884339344-1","2016-05-10 07:30:30",19,"2016-05-10 10:29:00","2016-05-10 10:29:00","probable","active","2016-05-10 07:30:30",771,"C/wxRxm15wwwDQJI/5MKIBE=",3,101,"stationaryTraffic",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144944884416144",-5.35185456273388,36.1559736726944
"608",608,1,"nl","TomTom Traffic Service","en","2016-05-10 11:14:00","other","76624715-56b0-46f7-a8cc-567fb22069ce","TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144944884339344","internalUse","real","urgent","TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144944884339344-1","2016-05-10 07:30:30",24,"2016-05-10 11:14:00","2016-05-10 11:14:00","probable","active","2016-05-10 07:30:30",722,"C/wxUxm13gooDAIu/6YKIBI=",3,101,"stationaryTraffic",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144944884416144",-5.35430073735545,36.1554586885636
"609",609,1,"nl","TomTom Traffic Service","en","2016-05-10 11:28:00","other","76624715-56b0-46f7-a8cc-567fb22069ce","TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144944884339344","internalUse","real","urgent","TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144944884339344-1","2016-05-10 07:30:30",25,"2016-05-10 11:28:00","2016-05-10 11:28:00","probable","active","2016-05-10 07:30:30",463,"C/wxuRm1/wskCAFS/14KIBo=",3,101,"stationaryTraffic",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144944884416144",-5.35430073735545,36.1554586885636
"610",610,1,"nl","TomTom Traffic Service","en","2016-05-10 11:44:04","other","76624715-56b0-46f7-a8cc-567fb22069ce","TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144944884339344","internalUse","real","urgent","TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144944884339344-1","2016-05-10 07:30:30",26,"2016-05-10 11:44:04","2016-05-10 11:44:04","probable","active","2016-05-10 07:30:30",722,"C/wxUxm13gooDAIu/6YKIBI=",3,101,"stationaryTraffic",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144944884416144",-5.35430073735545,36.1554586885636
"611",611,1,"nl","TomTom Traffic Service","en","2016-05-10 11:59:00","other","76624715-56b0-46f7-a8cc-567fb22069ce","TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144944884339344","internalUse","real","urgent","TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144944884339344-1","2016-05-10 07:30:30",26,"2016-05-10 11:59:00","2016-05-10 11:59:00","probable","active","2016-05-10 07:30:30",722,"C/wxUxm13gooDAIu/6YKIBI=",3,101,"stationaryTraffic",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144944884416144",-5.35430073735545,36.1554586885636
"612",612,1,"nl","TomTom Traffic Service","en","2016-05-10 12:29:00","other","76624715-56b0-46f7-a8cc-567fb22069ce","TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144944884339344","internalUse","real","urgent","TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144944884339344-1","2016-05-10 07:30:30",29,"2016-05-10 12:29:00","2016-05-10 12:29:00","probable","active","2016-05-10 07:30:30",571,"C/wxURm16gw4DQIx/4sKIBA=",3,101,"stationaryTraffic",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144944884416144",-5.35430073735545,36.1554586885636
"613",613,1,"nl","TomTom Traffic Service","en","2016-05-10 12:44:30","other","76624715-56b0-46f7-a8cc-567fb22069ce","TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144944884339344","internalUse","real","urgent","TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144944884339344-1","2016-05-10 07:30:30",31,"2016-05-10 12:44:30","2016-05-10 12:44:30","probable","active","2016-05-10 07:30:30",821,"C/wxVRm14gw+DgIo/5wKIBA=",3,101,"stationaryTraffic",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144944884416144",-5.35430073735545,36.1554586885636
"614",614,1,"nl","TomTom Traffic Service","en","2016-05-10 12:59:00","other","76624715-56b0-46f7-a8cc-567fb22069ce","TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144944884339344","internalUse","real","urgent","TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144944884339344-1","2016-05-10 07:30:30",31,"2016-05-10 12:59:00","2016-05-10 12:59:00","probable","active","2016-05-10 07:30:30",821,"C/wxVRm14gw+DgIo/5wKIBA=",3,101,"stationaryTraffic",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144944884416144",-5.35419344899486,36.1555230615799
"615",615,1,"nl","TomTom Traffic Service","en","2016-05-10 13:14:30","other","76624715-56b0-46f7-a8cc-567fb22069ce","TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144944884339344","internalUse","real","urgent","TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144944884339344-1","2016-05-10 07:30:30",31,"2016-05-10 13:14:30","2016-05-10 13:14:30","probable","active","2016-05-10 07:30:30",821,"C/wxVRm14gw+DgIo/5wKIBA=",3,101,"stationaryTraffic",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144963351027344",-5.34897923466993,36.1497938631241
"616",616,1,"nl","TomTom Traffic Service","en","2016-05-10 14:44:00","other","76624715-56b0-46f7-a8cc-567fb22069ce","TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144981817536192","internalUse","real","urgent","TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144981817536192-1","2016-05-10 14:39:34",1,"2016-05-10 14:44:00","2016-05-10 14:44:00","probable","active","2016-05-10 14:39:34",184,"C/ww7Rmy7SSOCgDm/fojPw0=",3,108,"queueingTraffic",9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144944884416144",-5.35419344899486,36.1555230615799
